#{"t_start": 1662329308.1141858, "env_id": null}
r,l,t
-2699.72644,34,40.484565
-5799.720936,65,40.582304
-3799.75778,45,40.673069
-1799.87526,25,40.743872
-4899.722792,56,40.847594
-4999.598424,57,40.955308
-2199.641104,29,41.022128
-2299.873044,30,41.061023
-1499.814828,22,41.093937
-1699.762596,24,41.126848
-6399.48716,71,41.247526
-3099.856388,38,41.325317
-3699.928048,44,41.401115
-4499.686932,52,41.474959
-2899.800944,36,41.535754
-1999.823776,27,41.583628
-1199.77088,19,41.612548
-2799.860116,35,41.69433
-1799.942108,25,41.754171
-3399.89512,41,41.847921
-5799.808408,65,41.953638
-799.647564,15,41.990538
-3499.79302,42,42.059354
-2999.735864,37,42.113211
-2399.54864,31,42.156098
-1899.77984,26,42.197986
-2199.737152,29,42.249848
-3899.661876,46,42.322651
-2699.75402,34,42.377506
-3599.848308,43,42.45829
-2999.832284,36,42.534085
-1499.591012,22,42.564007
-3799.766328,45,42.657755
-2399.831932,31,42.728566
-2699.751956,34,42.781425
-2599.729316,33,42.827303
-4599.524724,53,42.926037
-1199.871088,19,42.968923
-6999.944884,76,43.09459
-1999.815344,27,43.145451
-3399.636604,41,43.244189
-7399.69854,81,43.3888
-4299.84528,50,43.4686
-4399.73664,51,43.537403
-12599.430728,133,43.77477
-1999.720848,27,43.811671
-1699.87174,24,43.849568
-2999.709504,37,43.910409
-1799.737492,25,43.944315
-1699.861096,24,43.983211
-7599.692548,82,44.120844
-5099.780208,58,44.213596
-9999.71522,107,44.407078
-2699.75364,34,44.456944
-2899.795916,36,44.512795
-6199.82928,69,44.614524
-5099.607948,58,44.708273
-2599.676444,33,44.767117
-1399.713524,21,44.808006
-1199.791348,19,44.84092
-2499.837224,32,44.905745
-4599.904068,52,45.002487
-4399.880084,51,45.088258
-2099.64082,28,45.139123
-3999.766288,47,45.217912
-1899.871192,26,45.271768
-2699.659372,34,45.334598
-2799.738012,35,45.396433
-3899.786696,46,45.474226
-4099.740168,48,45.565995
-1999.923804,27,45.609862
-4299.653332,50,45.705609
-3799.596652,45,45.78739
-2399.746088,31,45.836257
-8699.777008,94,46.016775
-4999.843352,57,46.109527
-3899.91644,46,46.166375
-2899.871968,36,46.230207
-2699.867908,34,46.291041
-1799.943312,25,46.335921
-2999.690068,37,46.41172
-4499.879616,52,46.49849
-2899.76786,36,46.564317
-3399.683896,41,46.626146
-1999.700372,27,46.686984
-3799.692696,45,46.761786
-4199.5975,49,46.85254
-2799.724768,35,46.912383
-8099.634592,88,47.049019
-1199.683824,19,47.088911
-5999.604648,67,47.200612
-2299.804316,30,47.249479
-1399.799332,21,47.282393
-2599.764912,33,47.360185
-7099.560436,78,47.489837
-3499.935316,42,47.550674
-5599.636884,63,47.643426
-3299.79624,40,47.748148
-2899.891768,36,47.822947
-4899.730304,56,47.895752
-3499.598024,42,47.971549
-2699.806276,34,48.044355
-4099.868228,48,48.115167
-1799.860772,25,48.153063
-2499.837152,32,48.19595
-8699.64088,94,48.35253
-1499.931204,22,48.381454
-4599.830304,53,48.478194
-3799.790284,45,48.576931
-2299.766292,30,48.629789
-5199.737192,59,48.736505
-2299.727568,30,48.77939
-4199.574624,49,48.860177
-5099.667456,58,48.946941
-1599.86256,23,48.992818
-3299.692996,40,49.073643
-1699.879828,24,49.111501
-2399.88624,31,49.169347
-4399.815124,51,49.271075
-3199.94488,39,49.344877
-9099.56736,98,49.532376
-2199.843008,29,49.570276
-1599.778592,23,49.604183
-7499.63488,82,49.741849
-2499.659704,32,49.804648
-3199.681392,39,49.858506
-1199.777948,19,49.889422
-1899.622916,26,49.936296
-2599.91474,33,49.997136
-2099.704136,28,50.05897
-6199.693608,69,50.172664
-7644.21205,85,50.306307
-3199.810404,39,50.368182
-5399.77034,61,50.449923
-3399.762812,41,50.503818
-4399.721924,51,50.594537
-5999.734692,67,50.732169
-1599.81362,23,50.778046
-2899.746308,36,50.829908
-8899.847092,95,50.988486
-3899.820496,46,51.062287
-2499.645112,32,51.121131
-1999.640304,27,51.182965
-2199.78656,29,51.234826
-3399.952784,41,51.308629
-8499.724592,92,51.46122
-5299.633696,60,51.564943
-2899.693764,36,51.612816
-3799.85608,45,51.6936
-4199.771596,49,51.773386
-1999.77728,27,51.833226
-2499.871772,32,51.89107
-3699.861224,44,51.961882
-2499.683332,32,52.015738
-3799.9342,45,52.107491
-5099.730528,58,52.188276
-1399.727132,21,52.216201
-3099.72142,38,52.283025
-6699.941176,73,52.422651
-4399.879476,51,52.490468
-3299.719376,40,52.566267
-1499.831524,22,52.609152
-3799.76028,45,52.676969
-2599.84954,33,52.737807
-1999.89826,27,52.787673
-6799.800696,75,52.933284
-3299.641528,40,52.988137
-13499.7538,142,53.24146
-6499.78042,72,53.355157
-3899.713684,46,53.43594
-3299.73726,40,53.506751
-3199.809464,39,53.576564
-1599.841808,23,53.607484
-4799.851976,55,53.692256
-1899.717724,26,53.738136
-5099.614692,58,53.846842
-6599.753284,73,53.965525
-3899.823932,46,54.048306
-6299.785148,70,54.155018
-3199.740928,39,54.236801
-3999.797608,47,54.317623
-3699.888688,44,54.388394
-2799.776116,35,54.463194
-1899.784308,26,54.506081
-4699.877192,54,54.604817
-1799.696868,25,54.64072
-1399.793672,21,54.687595
-2499.815088,32,54.744442
-1899.711756,26,54.793311
-4199.646128,49,54.874131
-15499.656884,162,55.134402
-3699.837896,44,55.200226
-2699.778192,34,55.25408
-1599.842292,23,55.298961
-4699.946232,54,55.409664
-2199.6387,29,55.467512
-6399.730432,71,55.565248
-2899.853736,36,55.619106
-7699.749184,84,55.786659
-1399.851644,21,55.823557
-999.789008,17,55.845499
-5199.759052,59,55.930272
-3899.664608,46,55.997095
-2699.873748,34,56.081868
-8299.53112,89,56.228475
-1399.704876,21,56.255404
-3299.731396,40,56.325217
