#{"t_start": 1666814621.1547022, "env_id": null}
r,l,t
-1989.997621,207,1095.528368
-5689.997984,576,1099.657034
-2599.998456,267,1101.543935
-5689.997474,577,1105.681069
-1719.997945,179,1106.951928
-5029.998262,510,1110.583988
-4349.99842,442,1114.998517
-2399.997881,248,1116.775831
-2829.998407,289,1118.843524
-6249.998053,632,1123.39913
-7999.998089,808,1129.233682
-3499.998499,356,1131.773818
-5049.998102,512,1135.519414
-519.997974,59,1135.956069
-5149.99835,522,1139.750176
-2769.998138,284,1141.839685
-1799.998101,187,1143.202264
-4519.99825,459,1146.532243
-2809.997762,289,1148.619122
-3889.998061,396,1151.49631
-5729.997889,581,1155.685674
-5009.997843,508,1159.426787
-4189.998362,426,1162.484115
-2079.998351,214,1164.040788
-359.998322,42,1164.33716
-2569.998473,263,1166.198549
-2749.997985,282,1168.190538
-2999.998454,306,1170.397779
-2229.998165,229,1172.040619
-2979.997822,306,1174.222625
-3559.997861,363,1176.82553
-1999.99835,206,1178.303192
-3159.998356,322,1180.605723
-2709.998297,278,1182.618041
-3779.998507,384,1185.36917
-3639.998141,371,1188.008715
-2309.998068,238,1189.707918
-5879.998047,596,1194.091113
-3659.998393,372,1196.770448
-2699.997942,277,1198.764679
-5049.997698,513,1202.446571
-6999.997839,707,1207.630898
-2779.997913,285,1209.676215
-3969.998383,403,1212.609146
-6729.997971,680,1217.550568
-2389.998273,246,1219.290447
-1579.99785,165,1220.481002
-4129.998274,419,1223.591649
-7479.998255,755,1229.023515
-7239.997833,732,1234.349666
-1859.997957,193,1235.751101
-3239.998048,331,1238.139612
-3399.997984,347,1240.63042
-8489.998634,855,1246.789582
-8179.99797,825,1252.647529
-5589.998147,566,1256.80207
-10809.998283,1087,1264.624568
-3239.997902,332,1266.987004
-4859.997609,494,1270.508169
-4349.99779,442,1273.693235
-2229.998439,229,1275.35974
-1279.998104,135,1276.30953
-8369.997767,845,1282.370962
-8299.998262,837,1288.517553
-3019.997754,310,1290.730551
-4949.998242,502,1294.317436
-3459.997913,354,1297.511327
