#{"t_start": 1669313944.8602297, "env_id": null}
r,l,t
-75.660955,16,595.45792
-155.694127,24,595.640065
-105.596771,19,595.78675
-145.691815,23,595.955847
-125.282186,21,596.110346
33.491248,13,596.21117
-16.447166,18,596.339095
-225.177962,31,596.554711
-155.966815,24,596.721123
-115.159803,20,596.862397
-135.386334,22,597.096121
-215.3926,30,597.308519
-135.323414,22,597.45962
-125.944088,30,597.666193
-155.359586,24,597.827908
-275.776732,36,598.077625
-5.269369,9,598.143936
-145.967546,23,598.307244
-225.917656,31,598.521445
-135.678822,22,598.673843
-75.496676,16,598.786077
-165.758025,25,598.955257
-175.573844,26,599.131664
-115.469214,20,599.281213
-236.243937,32,599.496846
-36.135798,12,599.579259
4.555304,18,599.701606
-235.692392,32,599.939748
-105.754001,19,600.061465
-85.643818,17,600.185485
-265.070851,35,600.426461
-205.137268,29,600.635299
-175.128399,26,600.828863
-155.433069,24,600.995792
-75.944369,16,601.102438
-115.702015,20,601.23976
-215.444008,30,601.44956
-225.885465,31,601.65307
-15.545895,19,601.791257
-105.320553,19,601.924746
-115.544044,20,602.063323
-85.126442,17,602.181345
-115.703977,20,602.327367
-165.85554,25,602.498881
-155.479062,24,602.66669
23.519691,14,602.771705
-205.46421,29,602.970522
-115.674626,20,603.127832
-95.813041,18,603.274533
-206.231744,29,603.484101
-135.668533,22,603.631786
-55.840757,14,603.733252
-235.695825,32,603.951708
-95.420736,18,604.136755
-185.615496,27,604.329564
53.470181,11,604.413301
-155.432533,24,604.583229
-265.690355,35,604.818347
-415.564118,50,605.15585
-106.22131,19,605.288355
-195.539076,28,605.489605
-285.834135,37,605.740857
-116.008092,20,605.872304
-115.408668,20,606.008074
-145.240158,23,606.160722
-115.091499,20,606.303958
-75.5557,16,606.420364
-104.976159,19,606.563076
-235.075997,32,606.783586
-85.729593,17,606.89723
-35.47364,22,607.05224
-205.45025,29,607.256274
-145.78978,23,607.420078
-105.576206,19,607.553367
-275.529724,46,607.877981
-156.124241,24,608.042404
-115.47066,20,608.191172
-255.856203,34,608.442288
-56.335603,14,608.547455
-135.62488,22,608.699112
-245.712494,33,608.920096
-255.791903,34,609.143494
-96.413763,18,609.263604
-185.272558,27,609.456212
-55.881332,14,609.552863
-105.749653,19,609.688163
-166.027072,25,609.859931
-275.541609,36,610.107948
-175.724554,26,610.280681
-155.892537,24,610.458072
-305.642404,39,610.727633
-105.741806,19,610.869432
-305.421475,39,611.202381
-365.414198,45,611.522191
-385.526739,57,611.907135
-236.103376,32,612.133289
-105.69222,19,612.260695
-335.559661,42,612.556166
-116.043795,29,612.753675
-95.560411,18,612.888576
-175.310351,26,613.063249
-65.465413,15,613.173751
-185.34489,27,613.353116
-125.499044,21,613.507313
-225.249394,31,613.716144
-85.48242,17,613.832676
-285.947511,37,614.081305
-245.271827,33,614.306573
-65.271572,15,614.405699
-45.298308,13,614.526453
-95.775268,18,614.647531
-25.684626,11,614.729752
-986.007558,107,615.442625
-175.763412,36,615.695773
-185.132085,37,615.942873
-895.344615,108,616.662631
-1375.556183,146,617.629981
-245.444355,33,617.855674
-56.493973,22,618.005686
-1245.55443,133,618.898262
-2026.114383,211,620.307755
-175.585115,26,620.478065
-135.476233,22,620.633625
-155.425187,24,620.800435
-105.759148,19,620.932171
-235.721058,32,621.145411
-255.860754,34,621.37093
-255.437171,34,621.604231
-205.327284,29,621.802141
-125.225062,21,621.940254
-335.330998,42,622.225699
-165.8628,25,622.398385
-76.195043,16,622.506708
-165.823285,25,622.685273
-365.665781,45,622.996787
-176.59628,26,623.170873
-125.589258,21,623.313102
-186.036015,27,623.500635
-185.508088,27,623.691523
-225.648942,31,623.899523
-215.152524,30,624.094255
-135.473415,22,624.248271
-335.299282,42,624.525133
-115.206835,20,624.661869
-225.248737,31,624.886828
-135.715968,22,625.033128
-175.639731,26,625.206791
-245.916529,33,625.427734
-45.500289,23,625.579278
-105.703647,19,625.721127
-245.624142,33,625.959687
-85.714602,17,626.085433
4.273442,18,626.220697
-125.494598,21,626.365298
-165.728848,25,626.609404
-95.542075,18,626.748904
-385.838634,47,627.056912
-145.649812,23,627.21081
-125.932209,21,627.355966
-115.622453,20,627.499985
-235.546295,32,627.715323
-145.693861,23,627.874171
-186.002897,27,628.056497
24.437908,16,628.168789
-65.570755,15,628.279761
-255.622018,34,628.516193
-26.028291,20,628.652441
-95.631047,28,628.856594
-145.273556,23,629.011865
-95.266234,18,629.136209
-215.343805,30,629.339695
-265.832634,35,629.583082
-245.459333,33,629.80973
54.199095,13,629.896309
-165.457877,25,630.063514
-95.630363,18,630.194413
-45.414324,13,630.287837
-115.426994,20,630.43225
-175.752364,26,630.609511
-145.353452,23,630.770784
-185.27987,27,630.968239
-135.395429,22,631.126634
-135.378765,22,631.280036
-165.681146,25,631.455183
-145.449296,23,631.620346
-115.454552,20,631.756715
-65.437412,15,631.877717
-185.627872,27,632.067189
-195.428264,28,632.260455
-65.951158,15,632.370386
-155.546323,24,632.538973
-205.465663,29,632.737425
-175.644074,26,632.922339
-285.749874,37,633.172827
-306.058867,39,633.436678
-195.468964,28,633.62764
-185.179398,27,633.806679
-135.642411,22,633.962072
-235.604287,32,634.180911
-245.827241,33,634.406614
-75.220332,16,634.512981
-145.345323,23,634.671395
-105.444118,19,634.794476
-265.318641,35,635.036254
-225.542128,31,635.241998
-345.610352,43,635.52469
-255.463727,34,635.755791
-295.435015,38,636.013427
-145.729969,33,636.240742
-55.269855,14,636.332783
-145.504476,23,636.490793
-85.29421,17,636.611154
-66.875634,23,636.772212
-115.376318,30,636.979335
-215.578352,30,637.178714
-65.308811,25,637.349315
-185.404992,27,637.523072
-185.47773,27,637.707571
-935.368466,102,638.393742
-745.562265,83,638.967953
-306.065417,39,639.236045
-125.702629,21,639.378756
-146.33185,23,639.535156
-105.155121,19,639.673809
-185.346584,27,639.857907
-85.485501,17,639.985347
-285.043821,37,640.2387
63.70227,11,640.31464
-45.884475,13,640.403908
-165.362382,25,640.572586
-155.254474,24,640.732353
-285.273955,37,640.982116
-235.302091,32,641.207459
-165.53076,25,641.376792
-265.139725,35,641.61435
-235.672798,32,641.833157
-105.203033,19,641.95795
-205.644876,29,642.159128
-35.46092,12,642.243715
-205.585588,29,642.436999
-16.633526,19,642.564441
-25.598476,21,642.705961
-155.627938,24,642.861447
-275.88026,36,643.110328
-85.821309,17,643.224721
-145.751911,23,643.382217
-65.817431,15,643.489663
-195.714852,28,643.685971
-65.3909,15,643.788263
-125.984645,21,643.93068
-25.339475,11,644.004573
-165.395486,25,644.187409
-175.448485,26,644.359494
-145.195765,23,644.514436
-55.11835,14,644.61383
-175.591516,26,644.791623
-145.15601,23,644.951027
-166.113641,25,645.127089
-75.667605,26,645.301261
-625.095223,71,645.793278
-125.884502,30,645.990619
-405.233416,49,646.329871
-1255.48164,134,647.214113
-155.358603,24,647.380347
-135.643042,22,647.530538
-75.508854,16,647.644423
-95.544836,18,647.775792
-95.604634,18,647.901798
-85.531947,17,648.023639
-85.506987,17,648.154557
-185.551482,27,648.339725
-175.426861,26,648.516702
-165.525361,25,648.692557
4.381549,18,648.825823
-165.284411,25,648.994881
-185.315081,27,649.195379
-265.363902,35,649.433769
-225.403981,31,649.638279
-115.66331,20,649.779094
-145.344326,23,649.935916
-225.27003,31,650.147645
-75.396638,16,650.27045
-135.408735,22,650.418168
-65.432584,15,650.527347
-136.196802,22,650.688232
84.219103,10,650.7604
-255.532952,34,650.988501
-165.407835,25,651.157394
-595.60874,68,651.621662
-105.510748,19,651.752984
-165.457573,25,651.922508
-175.829567,26,652.102103
-115.336818,20,652.250868
-145.760162,23,652.420318
-65.258202,25,652.602617
-105.315191,19,652.745228
-135.25474,22,652.904934
-115.549387,20,653.042086
-175.325164,26,653.232523
-85.207013,17,653.352096
-45.637257,23,653.51267
74.347641,11,653.6025
-65.894363,15,653.704501
-135.439662,22,653.855058
-105.804494,19,653.983713
-115.385615,20,654.123329
-105.304058,19,654.258832
-95.182597,18,654.385032
-195.331575,28,654.574303
-305.28175,39,654.847762
-235.862563,32,655.054888
-145.353234,23,655.222618
-155.54571,24,655.397247
-165.846226,25,655.572807
-225.36306,31,655.787781
-105.558035,19,655.921721
-175.467929,26,656.115468
-95.457878,18,656.244284
-95.470079,18,656.381976
-125.522583,21,656.542549
-105.389757,19,656.687657
-175.762871,26,656.872579
-265.357108,35,657.12645
-145.494596,23,657.30161
-96.041548,18,657.429668
-125.223901,21,657.583535
-85.982218,17,657.7114
-346.007046,43,658.003545
-155.365163,24,658.168619
-235.443752,32,658.399926
-105.512283,19,658.525138
-195.595772,28,658.724279
-135.520913,22,658.876764
-155.800329,24,659.11055
-105.780507,19,659.242385
-135.939567,22,659.404453
-65.686666,15,659.503776
-195.877366,28,659.70183
-95.635019,18,659.828144
-105.691488,19,659.970908
-195.581826,28,660.159163
-155.555775,24,660.331732
-155.382975,24,660.497088
-265.367863,45,660.794804
-305.37876,49,661.139055
-195.266927,38,661.404182
-305.43892,39,661.670385
-636.554319,80,662.192797
-235.455133,32,662.414167
-435.067339,52,662.770278
-155.194818,24,662.92885
-175.560077,26,663.106589
-175.059314,26,663.280962
-734.915313,82,663.835677
-676.175208,76,664.340379
-75.825374,16,664.463497
