#{"t_start": 1667320887.616259, "env_id": null}
r,l,t
-182.415829,27,460.878695
-204.310955,29,461.079417
-364.299953,45,461.384757
-104.291087,19,461.524531
-203.93124,29,461.724142
-254.294625,34,461.95573
-134.200099,22,462.103976
-204.554805,29,462.304437
-163.948375,25,462.470211
-153.706094,24,462.644014
-284.365744,37,462.901709
-333.415555,42,463.201483
-244.330551,33,463.460428
-204.165507,29,463.676256
-144.329972,23,463.859378
-202.265714,29,464.09474
-434.323992,52,464.463399
-143.037464,23,464.637016
-104.32537,19,464.7703
-74.35275,16,464.89059
-124.312492,21,465.035287
-273.961388,36,465.29547
-394.355571,48,465.621284
-275.006673,36,465.874093
-334.276268,42,466.152735
-324.299667,41,466.54184
-184.682164,27,466.741849
-283.577033,37,467.005757
-314.389645,40,467.374034
-264.063839,35,467.634938
-224.322652,31,467.857575
-424.355247,51,468.205893
-204.587229,29,468.424385
-244.373041,33,468.689579
-133.955206,22,468.855006
-244.340102,33,469.096527
-114.175816,20,469.241743
-274.264038,36,469.500631
-334.195183,42,469.792658
-153.365584,24,469.971171
-243.210599,33,470.206967
-303.340393,39,470.478125
-183.348287,27,470.667362
-583.817237,67,471.122189
-224.343039,31,471.354722
-274.309426,36,471.609671
-434.328716,52,471.980267
-254.332255,34,472.214285
-673.770652,76,472.780487
-253.745031,34,473.026986
-142.979887,23,473.187844
-2352.969659,244,474.856778
-343.337946,43,475.152888
-313.453945,40,475.434161
-212.626193,29,475.639923
-363.080611,45,475.981963
-453.859629,54,476.357382
-1144.42232,123,477.215318
-214.335328,30,477.4158
-244.30106,33,477.645478
-203.307691,29,477.861126
-63.634855,15,477.968337
-193.245833,28,478.167556
-1092.992907,117,478.977254
-443.598785,53,479.342773
-303.544422,39,479.637634
-844.020183,93,480.287411
-384.580548,47,480.605839
-134.121025,22,480.755175
-223.337744,31,480.98719
-324.718491,41,481.271371
-274.325106,36,481.524562
-234.311813,32,481.742547
-123.31969,21,481.900084
-154.911896,23,482.056033
-183.311841,27,482.247166
-204.357328,29,482.450073
-113.062168,19,482.587519
-184.099311,27,482.774972
-263.817671,35,483.022424
-64.251405,15,483.128442
-194.339687,28,483.333672
-94.351826,18,483.458259
-75.040044,16,483.57596
-174.320316,26,483.752434
-123.762183,21,483.913307
-293.909862,38,484.174555
-133.510585,21,484.326353
-254.119251,34,484.564867
-74.567983,16,484.681734
-254.319022,34,484.9488
-264.333793,35,485.198101
-283.743591,37,485.46803
-174.346458,26,485.65438
-104.321802,19,485.794321
-261.871708,35,486.042964
-173.082562,26,486.223209
-374.349437,46,486.553334
-124.498959,21,486.697966
-324.27058,41,486.985577
-113.351689,18,487.107968
-304.353492,39,487.385594
-293.261897,38,487.644514
-304.266263,39,487.906931
-94.538403,18,488.041517
-193.694276,28,488.239847
-163.958298,25,488.407255
-184.948747,27,488.596986
-201.899401,29,488.789949
-284.735517,37,489.054836
-264.333671,35,489.299847
-284.345207,37,489.555156
-132.165379,22,489.709885
-164.333583,25,489.893668
-314.761297,40,490.172185
-153.863896,24,490.34141
-202.675288,28,490.542689
-184.308922,27,490.735105
-514.34731,60,491.14473
-284.174088,37,491.399579
-244.391086,33,491.627346
-213.666273,30,491.847096
-133.531787,22,491.994816
-332.368164,42,492.29571
-163.205461,25,492.463797
-264.3479,35,492.70714
-204.341708,29,492.904446
-194.294506,28,493.10986
-204.011117,29,493.30348
-304.075647,39,493.571707
-113.434741,20,493.710078
-324.351092,41,493.992699
-273.139943,35,494.242476
-114.32733,20,494.390646
-264.280634,35,494.637751
-293.703111,38,494.896387
-173.793163,26,495.083161
-374.479074,46,495.404136
-264.309735,35,495.653735
-364.297811,45,495.95694
-284.180107,37,496.235639
-344.350429,43,496.526107
-102.802421,18,496.651328
-223.792936,31,496.868582
-203.961547,29,497.061973
-254.339843,34,497.313727
-294.113555,38,497.573865
-164.318931,25,497.747611
-294.387283,38,498.012168
